Ma	Ma_L	Ma_U	pCO2	pCO2_L1?	pCO2_U1?	pCO2_L2?	pCO2_U2?
27	28.1	23.03	695.3011993	489.7404661	996.5412721	356.6762675	1464.835829
28	30	26	724.041689	515.7758992	1015.984371	381.7695804	1447.81328
30	33.9	28.1	833.7380676	569.5313427	1253.924939	408.1091896	2033.900085
30	33.9	28.1	959.8675571	641.3695074	1508.733939	450.2770163	2731.783437
30	33.9	28.1	941.3237598	632.7688991	1470.6404	444.3647087	2601.096254
31	33.9	28.1	616.0765091	445.713282	844.5690181	336.0801751	1138.395527
31	33.9	28.1	811.4488839	555.9330748	1203.220982	402.1201573	1913.625137
31	33.9	28.1	842.1227822	578.1101017	1265.388544	408.5903276	2042.234497
31	33.9	28.1	786.2017006	543.3057428	1156.684932	391.1634468	1786.704791
32	33.9	28.1	769.584016	533.8253338	1129.673817	386.1569591	1743.862151
32	33.9	28.1	824.4633564	565.7192264	1230.451179	405.4931357	1984.513586
53.5	53.7	53.3	1063.173476	694.4391263	1742.581515	478.4957871	3555.088423
53.5	53.7	53.3	872.2162493	593.4400476	1330.013807	420.3260812	2262.678632
53.6	53.8	53.4	811.1414188	557.5427501	1210.908538	396.3935369	1928.429626
53.6	53.8	53.4	765.4636164	530.82987	1129.02382	383.6752568	1749.933791
53.6	53.8	53.4	910.0456119	612.907453	1411.121178	432.9332671	2477.342171
53.6	53.8	53.4	969.2891447	644.5619319	1535.211819	455.2165096	2853.665552
53.6	53.8	53.4	971.3129966	644.7962435	1536.022492	451.44944	2813.107196
53.6	53.8	53.4	876.9786843	595.0144864	1341.985743	419.2465455	2242.924184
53.6	53.8	53.4	889.7364292	601.3177352	1369.008389	426.8098765	2349.250103
53.6	53.8	53.4	1445.620912	876.3786472	2756.388709	514.3432228	8425.73234
53.6	53.8	53.4	954.5819286	640.5793284	1475.714187	453.8318939	2585.331842
53.7	53.9	53.5	881.7398691	599.9180836	1337.332613	428.719315	2206.778182
53.7	53.9	53.5	1405.022435	859.1693385	2616.598095	523.8966519	7512.380491
53.7	53.9	53.5	1371.671141	843.4141003	2547.953148	523.3799656	7222.789945
53.7	53.9	53.5	1333.713426	825.2787814	2450.090548	538.0741374	6567.435211
53.7	53.9	53.5	1370.498367	849.3786454	2540.03666	533.2082323	6918.72004
53.7	53.9	53.5	896.9785559	607.9633891	1368.774263	432.6844838	2330.042585
53.7	53.9	53.5	1094.637145	715.3091757	1803.983661	493.3112354	3741.649398
53.7	53.9	53.5	1332.274654	829.5600228	2434.734595	529.331147	6503.279044
53.8	54.0	53.6	1368.744442	841.9861714	2527.776585	524.9910932	6911.804888
78	83.6	72.1	993.7631122	701.0987002	1418.626472	515.4288886	2118.143422
81	89.8	72	608.955608	443.5385701	819.4016766	338.1073021	1085.900925
85	86.3	83.6	662.0619996	485.3842752	884.9360144	371.6254623	1163.178819
86	87	84	606.622027	452.210575	796.6472519	354.6896533	1000.67005
88	89	87	763.3688322	560.2412868	1018.947231	431.4623784	1331.479671
89.5	90.5	88.5	872.7769797	636.3019816	1186.408854	481.9777542	1610.250967
91	92	90	702.7541071	522.7587889	924.7074917	407.8037909	1176.685736
94	96	92	512.4441534	376.8904525	676.4165091	291.7317923	865.7821982
94	96	92	716.9373657	518.9081107	981.0602631	391.4554986	1327.266344
94	96	92	904.8397519	647.736014	1267.393664	483.845892	1800.819542
94	96	92	1059.811906	744.8697683	1532.353785	544.2482622	2333.59832
94	97	93.9	892.7416102	644.6868679	1226.754363	483.3042275	1696.632373
94	97	93.9	1019.914758	725.1880638	1433.33571	539.0636937	2088.792169
94	97	93.9	863.9616569	623.7517069	1185.010265	471.7129066	1636.968136
94	97	93.9	1025.111853	726.9355753	1451.752366	537.6948277	2120.902495
94	97	93.9	1076.573146	760.9303534	1545.831832	559.4912588	2316.374357
94	97	93.9	1083.836953	768.2851032	1543.024879	566.2061489	2293.197282
94	97	93.9	1199.755522	837.5973385	1754.57954	613.5245443	2735.207588
94	100	93.9	691.0390606	500.6947992	942.9355906	378.1774848	1277.819466
94	100	93.9	609.2990272	446.0132146	818.8781684	340.8082498	1077.912925
94	100	93.9	629.1140251	458.8622561	849.9553427	348.2038963	1125.638264
94	96	92	631.7406442	466.2802807	838.1216278	361.2544206	1076.91807
94	96	92	800.2552488	581.6076291	1087.465388	441.8597785	1469.827267
95	96	94	786.2104397	571.3536026	1074.329806	433.8958706	1444.265725
95	97	93.5	1160.188839	814.6625195	1676.39827	597.2111133	2591.681419
95	97	93.5	1690.647364	1098.459588	2840.621639	751.994614	6271.866265
95	97	93.5	1489.983994	997.6202935	2376.439133	705.54969	4600.899242
95	97	93.9	1061.851461	750.2534175	1515.07559	556.1918408	2228.753342
95	97	93.9	901.2205864	650.303297	1241.546869	489.1883217	1728.077181
95	97	93.9	883.3144689	636.8485928	1217.868471	479.7056312	1679.157898
95	97	93.9	896.5865939	646.6494811	1239.817096	486.5276319	1723.975513
95	97	93.9	828.7153142	602.8005703	1130.693446	455.6970678	1549.485774
95	97	93.9	1022.249498	730.3443579	1435.325152	543.019245	2055.654387
95	97	93.9	1070.291266	758.1923233	1512.234166	564.9609432	2232.361542
95	97	93.9	861.6466953	617.1711529	1199.31961	462.2987149	1683.612044
95	97	93.9	987.7201633	699.199603	1410.52194	513.0964847	2108.971784
95.5	97	93.9	1242.268577	858.7135445	1835.895813	623.7344936	2983.5689
95.9	97	93.9	1111.859008	783.7002408	1604.849451	577.970627	2426.685849
96	97	95	714.8224819	525.806276	952.3839624	404.6934461	1243.479829
96	97	95	682.5652748	500.320901	902.9431805	387.1369909	1163.114829
96	97	95	834.2213764	604.3501449	1137.435631	459.3271538	1548.958003
96	97	93.5	1434.223419	972.3247764	2212.958885	690.6730087	3976.166253
95.45	97	93.9	878.3610534	634.3649495	1203.227312	478.8467722	1651.001645
96	97	93.5	1341.710352	915.7571652	2050.097623	658.68123	3552.158967
96	97	93.5	1429.428166	963.0088942	2238.112399	682.1385868	4036.278976
96	97	93.9	925.5972113	663.413943	1281.001004	496.5198161	1804.395532
96	97	93.9	1133.300804	794.2958419	1645.069288	581.66616	2504.925166
96	97	93.9	1027.78967	729.1964459	1458.750775	537.6245703	2124.880886
96	97	93.9	1224.782876	855.3758922	1808.83918	619.8110557	2843.298714
96	97	93.9	1019.025968	730.5995252	1429.084939	543.901406	2048.132176
96	97	93.9	946.9343831	669.6267392	1348.94841	497.4722527	1970.710965
96	97	93.9	848.9418973	609.7192869	1179.635579	455.5596278	1658.380055
96.3	97	93.9	1174.446843	820.8737534	1714.042182	597.5786695	2671.571702
96.7	97	93.9	1133.625996	798.0653864	1641.466679	588.7455758	2502.395662
97	98	96	1186.062344	836.9328077	1710.345029	617.2522481	2596.959132
97	99.5	97.5	904.531305	657.9823158	1235.149249	497.4445644	1683.252679
97	97	93.5	1095.50513	776.519399	1569.771868	574.2317393	2340.899952
97	97	93.5	1461.348895	980.0801459	2314.410655	692.2705836	4310.517335
97	97	93.9	912.1551824	657.4291628	1259.607748	494.2719531	1750.241318
97	97	93.9	921.8174525	664.6709928	1280.550082	496.0535489	1799.497661
97	97	93.9	1112.58719	782.8142358	1606.028657	573.8357483	2455.125675
97	97	93.9	1194.022531	829.1372501	1757.985566	604.6283328	2819.78226
97	97	93.9	1034.159309	734.8965419	1457.719152	550.0616946	2103.582454
97	97	93.9	898.6125778	639.2340444	1269.030022	475.0216163	1805.054535
97	97	93.9	899.2963245	642.3749802	1266.736806	477.9654673	1834.659861
97	100	93.9	935.5343036	670.8795108	1297.019678	500.0490549	1818.966542
99	100	98	760.5179411	555.8156598	1025.000846	426.801425	1354.018353
102	105	100.5	1133.497175	793.5639269	1651.24447	583.8400709	2588.373222
102	105	100.5	936.4247527	670.2125245	1303.936634	499.5383863	1840.455196
111	113	110	1125.355577	790.2813744	1636.421395	579.9358616	2492.024469
115	115	113.8	906.5519948	651.637537	1254.754751	489.1596555	1753.534781
115	115	113	996.1408138	680.6241542	1509.334703	485.2529971	2528.819163
116	115	113	1291.88179	837.6479107	2146.350739	568.3360971	4527.70605
116	116	114	1277.872265	832.7900622	2122.013949	573.3440603	4359.913642
116	117	115	1193.875305	786.103879	1924.072281	546.9259283	3667.679069
117	117	116	838.2342745	607.3913117	1144.900908	459.8913548	1564.817178
117	118	116	1231.250466	808.4055519	2027.35392	559.7744876	4088.250379
117	118	116	1335.908881	865.3018438	2266.142437	584.7808682	5075.774211
118	118	116	1231.389851	854.263946	1828.390016	616.1968361	2935.792808
120	121	119	1048.389722	709.0175867	1623.512439	504.4479338	2789.678622
122	126	118	893.6319531	641.1527526	1243.128219	479.265306	1756.760518
122	126	118	833.2398242	601.9953726	1149.737087	452.220415	1586.294132
122	123	121	978.08674	670.5871443	1465.054935	481.5078178	2407.641716
124	125	123	958.7021164	659.759247	1437.594982	476.9840884	2348.012831
140	145	132.9	820.1761042	593.7368473	1127.244816	447.4353292	1546.032651
140	145	132.9	863.8833143	622.4690143	1195.072245	467.5410025	1660.006821
144	150	138	641.0204275	447.8939146	928.3772901	324.9902061	1373.606235
145	152	139	1062.429052	731.3454355	1585.726978	528.1274064	2568.635924
145	152	139	774.4644153	558.6044385	1064.619342	421.0365092	1462.399844
145	152	139	730.2607732	530.2352781	991.1875314	400.5225118	1343.832812
145	152.1	145	607.9708403	434.0570424	846.6241503	322.9209066	1174.519046
145	152.1	145	585.3633012	420.0453809	810.6561602	311.9466632	1105.363995
146	152.1	145	540.4880339	389.6670253	735.7329928	292.4808485	986.9324124
146	152.1	145	690.351721	489.1051281	982.9374502	358.2816285	1433.265271
146	150	138	675.2293746	468.5064721	980.6126351	339.7306453	1493.653721
147	152.1	145	723.1736262	508.3872478	1039.715612	371.5333235	1541.828366
148	152.1	145	785.8404819	547.7622819	1152.350145	395.4381689	1766.166202
148	152.1	145	586.827165	422.9474708	810.076765	314.8919374	1108.936924
148	150	138	617.5619482	432.9351558	883.7353835	315.044454	1299.974714
149	152.1	145	746.860902	522.9483253	1081.774658	379.0607076	1622.532
149	152.1	145	659.4030851	469.3126105	930.2295839	348.1322671	1326.770623
