Age	CO2	CO2do	CO2up	Study	
#DelaVega data includes Martinez-Boti et al. 2015 data recalculated. G. ruber					
2078.09	266.90	231.80	307.74	Bartoli2011	
2161.01	253.94	221.22	291.86	Bartoli2011	
2166.04	368.70	318.84	427.08	Bartoli2011	
2201.34	219.03	191.05	249.78	Bartoli2011	
2201.34	327.44	284.85	377.41	Bartoli2011	
2201.94	377.22	327.26	436.40	Bartoli2011	
2304.67	253.60	220.25	291.25	Bartoli2011	
2502.94	341.61	297.21	393.52	Bartoli2011	
2558.58	295.76	253.33	344.45	Bartoli2011	
2600.86	251.60	220.38	286.90	Bartoli2011	
2685.47	250.40	217.13	290.69	Bartoli2011	
2702.23	326.54	283.18	377.48	Bartoli2011	
2705.51	315.10	274.00	363.83	Bartoli2011	
2708.11	268.50	234.48	308.68	Bartoli2011	
2710.46	334.04	265.07	429.35	Bartoli2011	
2751.56	305.31	266.07	350.68	Bartoli2011	
2772.86	358.52	313.18	414.25	Bartoli2011	
2778.72	375.50	324.66	434.80	Bartoli2011	
2781.41	324.09	282.01	372.00	Bartoli2011	
2781.41	319.59	278.18	366.91	Bartoli2011	
2795.49	315.50	274.58	363.60	Bartoli2011	
2918.77	277.84	240.58	321.96	Bartoli2011	
3000.57	357.12	309.51	413.50	Bartoli2011	
3073.92	284.47	247.43	330.28	Bartoli2011	
3081.38	363.44	312.38	422.13	Bartoli2011	
3104.91	291.78	254.82	335.10	Bartoli2011	
3155.92	266.47	226.64	313.36	Bartoli2011	
3218.57	273.96	236.51	319.85	Bartoli2011	
3239.17	322.92	280.80	373.10	Bartoli2011	
3259.15	268.91	231.26	313.00	Bartoli2011	
3321.60	286.23	248.47	331.65	Bartoli2011	
3403.24	280.17	242.80	323.56	Bartoli2011	
3406.73	287.67	247.75	336.35	Bartoli2011	
3471.47	306.20	264.64	354.47	Bartoli2011	
3542.53	320.07	274.74	374.97	Bartoli2011	
3590.77	303.58	261.53	353.05	Bartoli2011	
3716.06	317.84	274.26	370.30	Bartoli2011	
3792.18	286.14	244.60	335.24	Bartoli2011	
3870.13	375.51	321.84	439.26	Bartoli2011	
3961.07	308.55	264.77	359.18	Bartoli2011	
4036.18	320.13	275.14	375.18	Bartoli2011	
4117.13	351.91	298.18	416.27	Bartoli2011	
4187.49	278.13	240.10	321.66	Bartoli2011	
4187.49	533.59	449.91	640.82	Bartoli2011	
4580.30	376.32	319.19	444.17	Bartoli2011	
3870.13	360.38	302.90	428.99	Bartoli2011	
4580.30	363.26	306.58	430.17	Bartoli2011	
#G.ruber					
1087.3	228.00	194.00	263.00	Chalk2017.MPT	
1088.7	255.00	219.00	293.00	Chalk2017.MPT	
