"age" "pmaxCO2" "lw95" "lw68" "up68" "up95"
0.00166 274.570599882079 221.880340503528 245.409727429454 312.071378713794 337.316721944553
0.50166 279.526138561298 231.82970260427 254.129787989596 312.755108906754 336.614317057762
1.00166 285.234575946008 241.813898996607 261.551012505199 313.452237722227 336.773838560341
1.50166 289.430299384641 249.985314707751 268.253639719064 314.738929317001 340.260345853893
2.00166 294.747574133622 256.8344432891 274.29143973275 318.552369006635 343.708922351952
2.50166 300.83281596344 262.174306397365 279.046383670741 323.213990737814 346.374388547743
3.00166 304.613308494365 266.443387418831 283.317920880874 328.163384657527 354.327404428897
3.50166 307.862522918585 269.779561012202 287.727203123242 333.282281643473 359.546719468613
4.00166 314.52300476784 272.112394018507 290.73435654673 337.859519193822 362.520567026583
4.50166 318.599789557842 275.402587994949 294.489407492604 342.588120215526 370.880198103819
5.00166 323.785154287436 278.17253825086 298.440288563178 347.701797987176 374.987971905514
5.50166 328.867601851733 278.639666300105 302.129752190093 352.842923525611 380.061694712249
6.00166 333.65384054503 280.854247687267 305.330446576208 357.973352867781 385.423578323873
6.50166 338.068539544913 284.609475473547 308.13917373863 362.713921457704 389.786673924618
7.00166 342.375892932505 286.64587692094 311.88438689602 367.959057896822 393.593454460548
7.50166 346.609151829515 290.164584723306 314.931610947212 372.46133177875 398.405931783997
8.00166 350.343100397778 293.787886085265 319.185320674631 377.22727237195 402.679463582495
8.50166 355.152643394319 296.418367056944 322.589439783105 381.763202437478 406.044596924915
9.00166 360.389199916989 300.403276513011 326.782544452237 386.295100348521 410.95757314778
9.50166 366.17948195853 305.476243126617 330.604656971694 390.641149070339 415.40469829055
10.00166 369.91106899925 308.740561543917 334.720451410181 394.423601418684 419.43530393645
10.50166 373.206593684587 312.426536841025 337.995865658543 398.85086982905 423.761078582206
11.00166 376.960772978164 316.82384622308 341.701285480871 402.73928709956 427.417648756298
11.50166 380.356679074095 321.301739316053 346.718567453102 406.95966154335 433.184369611464
12.00166 384.547374770911 327.653224325924 350.181398321476 411.89229904625 439.54376489139
12.50166 390.647450122496 329.993490694689 354.737643196324 417.464850346515 444.856910986633
13.00166 394.636347295452 332.793874835071 357.404187850829 423.794884650395 451.329453566732
