SOURCE	Age	CO2.2.5	CO2.16	CO2.50	CO2.84	CO2.97.5
CHALK	2.27E-01	1.95E-04	2.40E-04	2.67E-04	2.97E-04	3.59E-04
CHALK	2.36E-01	2.14E-04	2.64E-04	2.94E-04	3.27E-04	3.97E-04
CHALK	2.39E-01	2.02E-04	2.50E-04	2.78E-04	3.08E-04	3.75E-04
CHALK	2.43E-01	2.26E-04	2.79E-04	3.11E-04	3.44E-04	4.21E-04
CHALK	2.47E-01	2.15E-04	2.64E-04	2.95E-04	3.27E-04	4.00E-04
CHALK	2.50E-01	1.91E-04	2.35E-04	2.61E-04	2.89E-04	3.50E-04
CHALK	2.58E-01	1.97E-04	2.41E-04	2.68E-04	2.97E-04	3.61E-04
HONISCH	3.29E-01	2.75E-04	3.39E-04	3.80E-04	4.25E-04	5.27E-04
HONISCH	3.59E-01	2.03E-04	2.49E-04	2.76E-04	3.06E-04	3.74E-04
HONISCH	3.67E-01	2.12E-04	2.63E-04	2.92E-04	3.24E-04	3.95E-04
HONISCH	3.86E-01	2.37E-04	2.91E-04	3.24E-04	3.62E-04	4.42E-04
HONISCH	4.09E-01	2.75E-04	3.45E-04	3.84E-04	4.27E-04	5.30E-04
HONISCH	4.19E-01	2.55E-04	3.17E-04	3.54E-04	3.94E-04	4.85E-04
HONISCH	5.42E-01	2.30E-04	2.81E-04	3.14E-04	3.49E-04	4.29E-04
SOSDIAN	5.56E-01	1.75E-04	2.17E-04	2.42E-04	2.70E-04	3.32E-04
HONISCH	6.16E-01	2.36E-04	2.93E-04	3.27E-04	3.64E-04	4.46E-04
HONISCH	6.51E-01	1.73E-04	2.12E-04	2.35E-04	2.61E-04	3.18E-04
HONISCH	6.62E-01	1.92E-04	2.36E-04	2.62E-04	2.91E-04	3.53E-04
HONISCH	6.75E-01	2.09E-04	2.56E-04	2.85E-04	3.14E-04	3.84E-04
HONISCH	7.02E-01	2.41E-04	2.97E-04	3.30E-04	3.68E-04	4.49E-04
HONISCH	7.04E-01	2.46E-04	3.07E-04	3.42E-04	3.81E-04	4.69E-04
HONISCH	7.31E-01	2.14E-04	2.65E-04	2.95E-04	3.28E-04	4.00E-04
HONISCH	7.52E-01	2.00E-04	2.46E-04	2.73E-04	3.03E-04	3.68E-04
HONISCH	8.92E-01	1.49E-04	1.83E-04	2.02E-04	2.23E-04	2.70E-04
SOSDIAN	9.30E-01	2.04E-04	2.49E-04	2.76E-04	3.07E-04	3.73E-04
HONISCH	9.50E-01	1.98E-04	2.43E-04	2.69E-04	2.98E-04	3.62E-04
HONISCH	9.53E-01	2.11E-04	2.60E-04	2.88E-04	3.20E-04	3.91E-04
HONISCH	1.07E+00	2.02E-04	2.49E-04	2.77E-04	3.07E-04	3.75E-04
HONISCH	1.08E+00	1.82E-04	2.23E-04	2.48E-04	2.75E-04	3.33E-04
CHALK	1.09E+00	1.94E-04	2.36E-04	2.63E-04	2.91E-04	3.53E-04
CHALK	1.09E+00	2.10E-04	2.59E-04	2.88E-04	3.19E-04	3.88E-04
CHALK	1.09E+00	1.84E-04	2.28E-04	2.54E-04	2.80E-04	3.38E-04
CHALK	1.09E+00	1.98E-04	2.45E-04	2.73E-04	3.01E-04	3.65E-04
CHALK	1.10E+00	2.06E-04	2.52E-04	2.81E-04	3.12E-04	3.78E-04
CHALK	1.10E+00	2.53E-04	3.14E-04	3.50E-04	3.90E-04	4.77E-04
CHALK	1.10E+00	2.41E-04	2.98E-04	3.31E-04	3.69E-04	4.51E-04
CHALK	1.10E+00	2.28E-04	2.83E-04	3.16E-04	3.52E-04	4.33E-04
CHALK	1.11E+00	2.01E-04	2.48E-04	2.76E-04	3.06E-04	3.72E-04
CHALK	1.11E+00	2.13E-04	2.63E-04	2.92E-04	3.25E-04	3.98E-04
CHALK	1.11E+00	2.29E-04	2.82E-04	3.14E-04	3.49E-04	4.25E-04
CHALK	1.11E+00	2.02E-04	2.48E-04	2.75E-04	3.05E-04	3.69E-04
CHALK	1.12E+00	1.89E-04	2.32E-04	2.58E-04	2.85E-04	3.46E-04
CHALK	1.12E+00	1.81E-04	2.22E-04	2.46E-04	2.71E-04	3.27E-04
CHALK	1.12E+00	2.05E-04	2.50E-04	2.77E-04	3.08E-04	3.71E-04
CHALK	1.12E+00	1.73E-04	2.11E-04	2.35E-04	2.59E-04	3.15E-04
CHALK	1.13E+00	2.00E-04	2.48E-04	2.75E-04	3.07E-04	3.72E-04
CHALK	1.13E+00	2.01E-04	2.47E-04	2.75E-04	3.05E-04	3.70E-04
CHALK	1.13E+00	2.05E-04	2.51E-04	2.79E-04	3.10E-04	3.78E-04
CHALK	1.14E+00	2.35E-04	2.88E-04	3.21E-04	3.56E-04	4.35E-04
CHALK	1.14E+00	2.42E-04	3.00E-04	3.35E-04	3.73E-04	4.55E-04
CHALK	1.14E+00	2.24E-04	2.76E-04	3.07E-04	3.42E-04	4.18E-04
CHALK	1.15E+00	2.36E-04	2.92E-04	3.24E-04	3.63E-04	4.44E-04
CHALK	1.15E+00	2.44E-04	3.03E-04	3.40E-04	3.80E-04	4.70E-04
CHALK	1.15E+00	2.10E-04	2.61E-04	2.91E-04	3.24E-04	4.00E-04
CHALK	1.15E+00	2.03E-04	2.50E-04	2.78E-04	3.09E-04	3.79E-04
CHALK	1.16E+00	2.39E-04	2.95E-04	3.30E-04	3.67E-04	4.50E-04
CHALK	1.16E+00	2.43E-04	3.02E-04	3.37E-04	3.77E-04	4.64E-04
CHALK	1.16E+00	2.19E-04	2.72E-04	3.04E-04	3.38E-04	4.11E-04
HONISCH	1.17E+00	2.44E-04	3.01E-04	3.35E-04	3.72E-04	4.59E-04
CHALK	1.17E+00	2.28E-04	2.82E-04	3.14E-04	3.48E-04	4.26E-04
CHALK	1.18E+00	2.22E-04	2.72E-04	3.03E-04	3.38E-04	4.12E-04
CHALK	1.18E+00	2.14E-04	2.64E-04	2.93E-04	3.25E-04	3.97E-04
CHALK	1.18E+00	1.94E-04	2.37E-04	2.64E-04	2.93E-04	3.55E-04
CHALK	1.18E+00	1.88E-04	2.31E-04	2.56E-04	2.83E-04	3.45E-04
CHALK	1.19E+00	2.09E-04	2.58E-04	2.86E-04	3.18E-04	3.87E-04
CHALK	1.19E+00	2.14E-04	2.65E-04	2.94E-04	3.28E-04	3.98E-04
CHALK	1.19E+00	1.80E-04	2.21E-04	2.45E-04	2.72E-04	3.27E-04
HONISCH	1.19E+00	1.99E-04	2.46E-04	2.74E-04	3.04E-04	3.70E-04
CHALK	1.20E+00	1.76E-04	2.14E-04	2.38E-04	2.64E-04	3.19E-04
CHALK	1.20E+00	1.65E-04	2.03E-04	2.26E-04	2.49E-04	2.99E-04
CHALK	1.21E+00	1.81E-04	2.25E-04	2.49E-04	2.76E-04	3.37E-04
CHALK	1.21E+00	1.97E-04	2.42E-04	2.68E-04	2.98E-04	3.59E-04
HONISCH	1.21E+00	2.09E-04	2.59E-04	2.88E-04	3.20E-04	3.93E-04
