SOURCE	Age	CO2.2.5	CO2.16	CO2.50	CO2.84	CO2.97.5
BARTOLI	3.59E+00	2.21E-04	2.76E-04	3.08E-04	3.44E-04	4.25E-04
BARTOLI	3.72E+00	2.32E-04	2.87E-04	3.22E-04	3.59E-04	4.42E-04
BARTOLI	3.79E+00	2.08E-04	2.61E-04	2.92E-04	3.27E-04	4.04E-04
BARTOLI	3.87E+00	2.60E-04	3.30E-04	3.71E-04	4.17E-04	5.20E-04
BARTOLI	3.87E+00	2.53E-04	3.18E-04	3.57E-04	4.02E-04	5.00E-04
BARTOLI	3.96E+00	2.25E-04	2.78E-04	3.11E-04	3.49E-04	4.29E-04
SOSDIAN	4.00E+00	2.82E-04	3.53E-04	3.95E-04	4.41E-04	5.45E-04
BARTOLI	4.04E+00	2.29E-04	2.87E-04	3.23E-04	3.60E-04	4.43E-04
BARTOLI	4.12E+00	2.49E-04	3.11E-04	3.50E-04	3.93E-04	4.85E-04
BARTOLI	4.19E+00	2.04E-04	2.55E-04	2.84E-04	3.17E-04	3.92E-04
BARTOLI	4.19E+00	3.47E-04	4.43E-04	5.03E-04	5.70E-04	7.30E-04
SOSDIAN	4.23E+00	2.71E-04	3.37E-04	3.76E-04	4.19E-04	5.17E-04
SOSDIAN	4.42E+00	1.70E-04	2.11E-04	2.35E-04	2.61E-04	3.19E-04
BARTOLI	4.58E+00	2.60E-04	3.27E-04	3.67E-04	4.12E-04	5.08E-04
BARTOLI	4.58E+00	2.53E-04	3.17E-04	3.56E-04	4.02E-04	4.98E-04
SOSDIAN	4.86E+00	2.27E-04	2.93E-04	3.36E-04	3.83E-04	4.97E-04
SOSDIAN	5.33E+00	2.46E-04	3.08E-04	3.45E-04	3.86E-04	4.81E-04
SOSDIAN	5.80E+00	2.38E-04	3.01E-04	3.39E-04	3.83E-04	4.83E-04
SOSDIAN	5.81E+00	1.76E-04	2.21E-04	2.46E-04	2.74E-04	3.32E-04
SOSDIAN	6.54E+00	2.23E-04	2.79E-04	3.12E-04	3.49E-04	4.29E-04
SOSDIAN	7.00E+00	2.51E-04	3.14E-04	3.51E-04	3.91E-04	4.84E-04
SOSDIAN	8.45E+00	2.56E-04	3.24E-04	3.64E-04	4.08E-04	5.07E-04
SOSDIAN	8.56E+00	3.11E-04	3.96E-04	4.51E-04	5.13E-04	6.60E-04
SOSDIAN	9.24E+00	2.94E-04	3.72E-04	4.20E-04	4.74E-04	5.98E-04
SOSDIAN	9.87E+00	2.15E-04	2.69E-04	3.02E-04	3.39E-04	4.21E-04
SOSDIAN	1.06E+01	2.43E-04	3.13E-04	3.59E-04	4.12E-04	5.40E-04
SOSDIAN	1.15E+01	2.50E-04	3.22E-04	3.65E-04	4.14E-04	5.22E-04
SOSDIAN	1.17E+01	2.95E-04	3.77E-04	4.31E-04	4.90E-04	6.24E-04
SOSDIAN	1.21E+01	2.46E-04	3.14E-04	3.56E-04	4.02E-04	5.05E-04
SOSDIAN	1.24E+01	2.24E-04	2.85E-04	3.21E-04	3.63E-04	4.52E-04
SOSDIAN	1.25E+01	1.98E-04	2.61E-04	3.01E-04	3.47E-04	4.53E-04
SOSDIAN	1.28E+01	2.58E-04	3.30E-04	3.72E-04	4.21E-04	5.33E-04
SOSDIAN	1.32E+01	2.76E-04	3.56E-04	4.04E-04	4.58E-04	5.83E-04
SOSDIAN	1.34E+01	2.73E-04	3.54E-04	4.02E-04	4.56E-04	5.77E-04
SOSDIAN	1.35E+01	2.72E-04	3.48E-04	3.93E-04	4.46E-04	5.71E-04
SOSDIAN	1.36E+01	2.88E-04	3.72E-04	4.22E-04	4.78E-04	6.06E-04
SOSDIAN	1.36E+01	3.04E-04	3.91E-04	4.44E-04	5.03E-04	6.43E-04
SOSDIAN	1.37E+01	3.08E-04	3.95E-04	4.50E-04	5.12E-04	6.56E-04
SOSDIAN	1.37E+01	2.80E-04	3.58E-04	4.05E-04	4.58E-04	5.74E-04
SOSDIAN	1.38E+01	2.66E-04	3.40E-04	3.85E-04	4.35E-04	5.50E-04
SOSDIAN	1.38E+01	3.58E-04	4.67E-04	5.30E-04	6.04E-04	7.74E-04
SOSDIAN	1.39E+01	2.98E-04	3.86E-04	4.38E-04	4.99E-04	6.40E-04
SOSDIAN	1.39E+01	3.38E-04	4.40E-04	5.00E-04	5.67E-04	7.32E-04
SOSDIAN	1.39E+01	3.03E-04	3.90E-04	4.45E-04	5.07E-04	6.49E-04
SOSDIAN	1.40E+01	3.73E-04	4.84E-04	5.51E-04	6.28E-04	8.12E-04
SOSDIAN	1.42E+01	4.02E-04	5.35E-04	6.20E-04	7.17E-04	9.51E-04
SOSDIAN	1.51E+01	3.54E-04	4.62E-04	5.33E-04	6.18E-04	8.06E-04
SOSDIAN	1.57E+01	3.07E-04	4.00E-04	4.59E-04	5.22E-04	6.73E-04
SOSDIAN	1.57E+01	3.18E-04	4.14E-04	4.75E-04	5.42E-04	6.94E-04
SOSDIAN	1.57E+01	4.27E-04	5.65E-04	6.58E-04	7.64E-04	1.03E-03
SOSDIAN	1.57E+01	4.49E-04	6.04E-04	7.04E-04	8.23E-04	1.11E-03
SOSDIAN	1.57E+01	3.37E-04	4.36E-04	5.01E-04	5.73E-04	7.39E-04
SOSDIAN	1.58E+01	2.97E-04	3.87E-04	4.44E-04	5.09E-04	6.55E-04
SOSDIAN	1.58E+01	2.83E-04	3.76E-04	4.33E-04	4.99E-04	6.60E-04
SOSDIAN	1.58E+01	3.68E-04	4.84E-04	5.57E-04	6.39E-04	8.42E-04
SOSDIAN	1.58E+01	4.39E-04	6.12E-04	7.33E-04	8.94E-04	1.40E-03
SOSDIAN	1.59E+01	2.88E-04	3.80E-04	4.39E-04	5.05E-04	6.55E-04
SOSDIAN	1.59E+01	3.10E-04	4.05E-04	4.66E-04	5.38E-04	7.13E-04
SOSDIAN	1.59E+01	4.88E-04	6.58E-04	7.73E-04	9.14E-04	1.28E-03
SOSDIAN	1.60E+01	4.16E-04	5.57E-04	6.48E-04	7.52E-04	1.02E-03
SOSDIAN	1.60E+01	4.02E-04	5.37E-04	6.27E-04	7.28E-04	9.97E-04
SOSDIAN	1.60E+01	2.84E-04	3.72E-04	4.23E-04	4.82E-04	6.19E-04
SOSDIAN	1.60E+01	3.55E-04	4.72E-04	5.45E-04	6.25E-04	8.20E-04
SOSDIAN	1.60E+01	2.63E-04	3.39E-04	3.87E-04	4.39E-04	5.53E-04
SOSDIAN	1.60E+01	2.78E-04	3.69E-04	4.30E-04	5.04E-04	6.80E-04
SOSDIAN	1.60E+01	3.18E-04	4.14E-04	4.75E-04	5.43E-04	7.03E-04
SOSDIAN	1.60E+01	5.56E-04	7.56E-04	8.91E-04	1.06E-03	1.52E-03
SOSDIAN	1.61E+01	3.21E-04	4.20E-04	4.81E-04	5.53E-04	7.21E-04
SOSDIAN	1.61E+01	2.95E-04	3.85E-04	4.41E-04	5.03E-04	6.46E-04
SOSDIAN	1.61E+01	2.91E-04	3.82E-04	4.37E-04	4.99E-04	6.46E-04
SOSDIAN	1.61E+01	3.80E-04	5.11E-04	5.94E-04	6.95E-04	9.67E-04
SOSDIAN	1.61E+01	3.09E-04	4.04E-04	4.64E-04	5.29E-04	6.79E-04
SOSDIAN	1.61E+01	2.74E-04	3.57E-04	4.06E-04	4.64E-04	5.97E-04
SOSDIAN	1.61E+01	2.35E-04	3.08E-04	3.54E-04	4.06E-04	5.25E-04
SOSDIAN	1.62E+01	4.33E-04	5.88E-04	6.96E-04	8.30E-04	1.19E-03
SOSDIAN	1.62E+01	2.81E-04	3.64E-04	4.14E-04	4.70E-04	6.02E-04
SOSDIAN	1.62E+01	4.47E-04	5.94E-04	6.89E-04	8.05E-04	1.11E-03
SOSDIAN	1.62E+01	2.66E-04	3.46E-04	3.93E-04	4.47E-04	5.68E-04
SOSDIAN	1.62E+01	4.75E-04	6.34E-04	7.41E-04	8.73E-04	1.22E-03
SOSDIAN	1.62E+01	2.41E-04	3.10E-04	3.53E-04	3.99E-04	5.01E-04
SOSDIAN	1.62E+01	4.11E-04	5.48E-04	6.32E-04	7.35E-04	9.91E-04
SOSDIAN	1.62E+01	2.30E-04	2.97E-04	3.37E-04	3.81E-04	4.84E-04
SOSDIAN	1.62E+01	4.61E-04	6.39E-04	7.65E-04	9.30E-04	1.45E-03
SOSDIAN	1.63E+01	2.74E-04	3.53E-04	4.03E-04	4.58E-04	5.88E-04
SOSDIAN	1.63E+01	2.48E-04	3.22E-04	3.65E-04	4.16E-04	5.24E-04
SOSDIAN	1.63E+01	2.39E-04	3.09E-04	3.52E-04	4.01E-04	5.16E-04
SOSDIAN	1.63E+01	3.34E-04	4.31E-04	4.95E-04	5.69E-04	7.54E-04
SOSDIAN	1.64E+01	2.36E-04	3.05E-04	3.47E-04	3.92E-04	4.96E-04
SOSDIAN	1.64E+01	2.09E-04	2.73E-04	3.12E-04	3.54E-04	4.54E-04
SOSDIAN	1.65E+01	2.56E-04	3.30E-04	3.74E-04	4.27E-04	5.40E-04
SOSDIAN	1.67E+01	3.95E-04	5.26E-04	6.07E-04	7.01E-04	9.19E-04
SOSDIAN	1.69E+01	2.55E-04	3.32E-04	3.78E-04	4.28E-04	5.46E-04
SOSDIAN	1.69E+01	2.68E-04	3.49E-04	3.98E-04	4.53E-04	5.80E-04
SOSDIAN	1.71E+01	2.35E-04	3.03E-04	3.46E-04	3.92E-04	4.98E-04
SOSDIAN	1.77E+01	3.35E-04	4.42E-04	5.09E-04	5.82E-04	7.60E-04
SOSDIAN	1.82E+01	2.07E-04	2.69E-04	3.05E-04	3.45E-04	4.31E-04
SOSDIAN	1.85E+01	2.33E-04	3.03E-04	3.44E-04	3.91E-04	4.95E-04
SOSDIAN	1.91E+01	2.57E-04	3.38E-04	3.86E-04	4.40E-04	5.63E-04
SOSDIAN	1.94E+01	1.84E-04	2.41E-04	2.74E-04	3.11E-04	3.96E-04
SOSDIAN	2.00E+01	2.32E-04	3.04E-04	3.47E-04	3.95E-04	5.00E-04
SOSDIAN	2.01E+01	1.65E-04	2.13E-04	2.41E-04	2.74E-04	3.43E-04
SOSDIAN	2.06E+01	2.53E-04	3.33E-04	3.81E-04	4.35E-04	5.58E-04
SOSDIAN	2.18E+01	1.88E-04	2.47E-04	2.81E-04	3.19E-04	4.03E-04
SOSDIAN	2.19E+01	2.08E-04	2.72E-04	3.12E-04	3.55E-04	4.51E-04
SOSDIAN	2.21E+01	1.85E-04	2.43E-04	2.78E-04	3.16E-04	4.01E-04
SOSDIAN	2.26E+01	1.86E-04	2.46E-04	2.83E-04	3.24E-04	4.09E-04
