#using CO2 from Dana Dec2016						
Age	Age.er	CO2	do.er	up.er	er	method
104.6	4.184	1246.4	623.2	2492.8	934.8	psols
104.7	4.188	1139.2	569.6	2278.4	854.4	psols
104.8	4.192	1254.4	627.2	2508.8	940.8	psols
106.1	4.244	1399.2	699.6	2798.4	1049.4	psols
106.4	4.256	1474.4	737.2	2948.8	1105.8	psols
106.5	4.26	1679.2	839.6	3358.4	1259.4	psols
106.6	4.264	1496.8	748.4	2993.6	1122.6	psols
106.75	6.25	600	300	1200	450	psols
106.9	4.276	1496	748	2992	1122	psols
107.8	4.312	1200.8	600.4	2401.6	900.6	psols
108.8	4.352	1015.2	507.6	2030.4	761.4	psols
110.3	4.412	1064.8	532.4	2129.6	798.6	psols
111.1	4.444	1636.8	818.4	3273.6	1227.6	psols
111.5	4.46	996	498	1992	747	psols
111.5	4.46	1966.4	983.2	3932.8	1474.8	psols
111.8	4.472	1880	940	3760	1410	psols
112.3	4.492	1828.8	914.4	3657.6	1371.6	psols
112.7	4.508	1419.2	709.6	2838.4	1064.4	psols
113.4	12.9	591.2	295.6	1182.4	443.4	psols
113.5	4.54	449	224.5	898	336.75	psols
113.5	4.54	1335	667.5	2670	1001.25	psols
113.8	4.552	1295.2	647.6	2590.4	971.4	psols
114.8	4.592	1514.4	757.2	3028.8	1135.8	psols
114.9	4.596	1426.4	713.2	2852.8	1069.8	psols
115.3	4.612	1367.2	683.6	2734.4	1025.4	psols
115.5	4.62	986	493	1972	739.5	psols
116	4.64	1071	535.5	2142	803.25	psols
116.1	4.644	1665.6	832.8	3331.2	1249.2	psols
116.5	4.66	1190	595	2380	892.5	psols
117.8	4.712	1364	682	2728	1023	psols
119.4	4.776	1179	589.5	2358	884.25	psols
119.65	6.65	592	296	1184	444	psols
119.65	6.65	904	452	1808	678	psols
119.65	6.65	1076	538	2152	807	psols
119.65	6.65	1084	542	2168	813	psols
123.3	4.932	736	368	1472	552	psols
123.6	4.944	607.2	303.6	1214.4	455.4	psols
123.7	4.948	824	412	1648	618	psols
123.8	4.952	1017.6	508.8	2035.2	763.2	psols
126.4	5.056	1064.8	532.4	2129.6	798.6	psols
126.6	5.064	1509.6	754.8	3019.2	1132.2	psols
127.5	5.1	1704	852	3408	1278	psols
127.85	5.114	392.5285	234.0359	551.0212	158.4927	psols
129.8	5.192	940	470	1880	705	psols
130.1	3.8	1150	575	2300	862.5	psols
130.2	5.208	1023.2	511.6	2046.4	767.4	psols
130.8	5.232	842.4	421.2	1684.8	631.8	psols
131.3	5.252	1909.6	954.8	3819.2	1432.2	psols
132	5.28	2561.6	1280.8	5123.2	1921.2	psols
134.25	2.25	653.3333	326.6667	1306.6667	490	psols
135.65	9.35	923.5978	461.7989	1847.1956	692.6984	psols
142.2	2.8	560	280	1120	420	psols
143.5	5.74	232.3599	92.2704	372.4493	140.0894	psols
154.7	2.6	1272	636	2544	954	psols
157.8	6.312	557.6667	278.8333	1115.3333	418.25	psols
172.2	1.9	768	384	1536	576	psols
182.4	18.9	1112.5	556.25	2225	834.375	psols
187.7	13.6	1824	912	3648	1368	psols
196.05	5.25	1204	602	2408	903	psols
198.99	7.9596	1178.6667	589.3333	2357.3333	884	psols
199.79	7.9916	523.3333	261.6667	1046.6667	392.5	psols
200.15	8.006	610	305	1220	457.5	psols
200.23	8.0092	1018.6667	509.3333	2037.3333	764	psols
200.3	1	992	496	1984	744	psols
200.31	8.0124	1810.6667	905.3333	3621.3333	1358	psols
200.33	8.0132	1766	883	3532	1324.5	psols
200.35	8.014	1411.3333	705.6667	2822.6667	1058.5	psols
200.3626	8.0145	1664	832	3328	1248	psols
200.37	8.0148	997.3333	498.6667	1994.6667	748	psols
200.39	8.0156	2002	1001	4004	1501.5	psols
200.44	8.0176	1921.3333	960.6667	3842.6667	1441	psols
200.46	8.0184	3394.6667	1697.3333	6789.3333	2546	psols
200.4778	8.0191	2087.3333	1043.6667	4174.6667	1565.5	psols
200.53	8.0212	2750	1375	5500	2062.5	psols
200.53	8.0212	2997.3333	1498.6667	5994.6667	2248	psols
200.58	8.0232	1469.3333	734.6667	2938.6667	1102	psols
200.58	8.0232	1696.6667	848.3333	3393.3333	1272.5	psols
200.63	8.0252	1544.6667	772.3333	3089.3333	1158.5	psols
200.63	8.0252	2048	1024	4096	1536	psols
200.63	8.0252	2186.6667	1093.3333	4373.3333	1640	psols
200.65	8.026	1992	996	3984	1494	psols
200.66	8.0264	2303.3333	1151.6667	4606.6667	1727.5	psols
200.68	8.0272	1874	937	3748	1405.5	psols
200.69	8.0276	2012.6667	1006.3333	4025.3333	1509.5	psols
200.71	8.0284	1818	909	3636	1363.5	psols
200.73	8.0292	2382.6667	1191.3333	4765.3333	1787	psols
200.75	8.03	3012	1506	6024	2259	psols
200.77	8.0308	2353.3333	1176.6667	4706.6667	1765	psols
200.77	8.0308	2927.3333	1463.6667	5854.6667	2195.5	psols
200.78	8.0312	1986.6667	993.3333	3973.3333	1490	psols
200.78	8.0312	3648.6667	1824.3333	7297.3333	2736.5	psols
200.84	8.0336	1499.3333	749.6667	2998.6667	1124.5	psols
200.9062	8.0363	3294	1647	6588	2470.5	psols
200.9062	8.0363	3515.3333	1757.6667	7030.6667	2636.5	psols
200.9143	8.0366	1299.3333	649.6667	2598.6667	974.5	psols
201.0247	8.041	1570.6667	785.3333	3141.3333	1178	psols
201.0743	8.043	2472	1236	4944	1854	psols
201.1184	8.0447	1761.3333	880.6667	3522.6667	1321	psols
201.163	8.0465	2306.6667	1153.3333	4613.3333	1730	psols
201.18	8.0472	2049.3333	1024.6667	4098.6667	1537	psols
201.1999	8.048	2009.3333	1004.6667	4018.6667	1507	psols
201.2116	8.0485	2438	1219	4876	1828.5	psols
201.2116	8.0485	2676.6667	1338.3333	5353.3333	2007.5	psols
201.2157	8.0486	2700	1350	5400	2025	psols
201.2263	8.0491	2713.3333	1356.6667	5426.6667	2035	psols
201.2263	8.0491	2822.6667	1411.3333	5645.3333	2117	psols
201.2566	8.0503	2302	1151	4604	1726.5	psols
201.26	8.0504	3457.3333	1728.6667	6914.6667	2593	psols
201.2775	8.0511	2384.6667	1192.3333	4769.3333	1788.5	psols
201.3878	8.0555	2389.3333	1194.6667	4778.6667	1792	psols
201.4538	8.0582	2818.6667	1409.3333	5637.3333	2114	psols
201.4895	8.0596	2956	1478	5912	2217	psols
201.5091	8.0604	710	355	1420	532.5	psols
201.54	8.0616	710	448.6	971.4	261.4	psols
201.7261	8.069	1191.3333	595.6667	2382.6667	893.5	psols
201.76	8.0704	1189.6	729.6	1649.6	460	psols
201.8136	8.0725	1494.6667	747.3333	2989.3333	1121	psols
201.84	8.0736	1494.7333	911.1333	2078.3333	583.6	psols
201.8767	8.0751	1502	751	3004	1126.5	psols
201.91	8.0764	1502	917.3333	2086.6667	584.6667	psols
202.073	8.0829	1508.6667	754.3333	3017.3333	1131.5	psols
202.1	8.084	1508.8667	925.3333	2092.4	583.5333	psols
202.1734	8.0869	1064.6667	532.3333	2129.3333	798.5	psols
202.5103	8.1004	1612.6667	806.3333	3225.3333	1209.5	psols
202.58	8.1032	1064.5333	661.6	1467.4667	402.9333	psols
202.78	8.1112	1613.2667	982.1333	2244.4	631.1333	psols
202.9542	8.1182	1487.3333	743.6667	2974.6667	1115.5	psols
203.0935	8.1237	1298	649	2596	973.5	psols
203.34	8.1336	1486.8	907.2667	2066.3333	579.5333	psols
203.54	8.1416	1297.8667	800.9333	1794.8	496.9333	psols
203.5718	8.1429	1021.3333	510.6667	2042.6667	766	psols
203.7123	8.1485	1854.6667	927.3333	3709.3333	1391	psols
203.87	8.1548	1942.5333	1154.6	2730.4667	787.9333	psols
203.9456	8.1578	983.3333	491.6667	1966.6667	737.5	psols
204.09	8.1636	1021.3333	631.8667	1410.8	389.4667	psols
204.39	8.1756	1854.4667	1122.4667	2586.4667	732	psols
204.62	8.1848	1427.1333	871.6667	1982.6	555.4667	psols
