#using CO2 from Dana Dec2016						
Age	Age.er	CO2	do.er	up.er	er	method
17.58	0.38	340.969	204.5814	681.938	238.6783	Stomata
17.6	0.4	374.009	224.4054	748.018	261.8063	Stomata
17.6	0.4	388.326	232.9956	776.652	271.8282	Stomata
19	0.5	396.586	237.9516	793.172	277.6102	Stomata
19	0.2	458.811	275.2866	917.622	321.1677	Stomata
20	0.3	332.16	199.296	664.32	232.512	Stomata
22.1	1.5	333.26	199.956	666.52	233.282	Stomata
22.95	0.04	425	372	478	53	Stomata
23.02	0.01	516	405	627	111	Stomata
23.5	0.5	475.81	351.6	600.02	124.21	Stomata
24	1.125	434	257	611	177	Stomata
24.935	8.965	389	282.8226	549.1215	133.1495	Stomata
25	1.125	453	287	619	166	Stomata
25.55	2.55	588.216	352.9296	1176.432	411.7512	Stomata
26.5	0.5	428.755	316.8	540.71	111.955	Stomata
27	0.4	394.5	273	516	121.5	Stomata
28.465	5.435	390	264.6667	715.3333	225.3333	Stomata
30.75	1.25	671	503	839	168	Stomata
33	0.95	383	240	527	143.5	Stomata
33.45	0.45	409.395	302.5	516.29	106.895	Stomata
34.45	0.55	672.2222	448.1481	896.2963	224.0741	Stomata
34.45	0.55	410.17	303.1	517.24	107.07	Stomata
35.5	0.5	745.8904	497.2603	994.5205	248.6301	Stomata
35.85	1.95	449.5	259	640	190.5	Stomata
36	0.5	364.805	269.56	460.05	95.245	Stomata
38.4	2.5	634	353	[unbounded]	600	Stomata
40.85	6.95	356	260.9662	486.3581	112.6959	Stomata
42.85	5.05	424	385	467	41	Stomata
44.5	3.3	768	512	1024	256	Stomata
44.5	3.3	964.5	643	1286	321.5	Stomata
46.4	1.4	907.5	605	1210	302.5	Stomata
47.4	-0.6	943	853	1033	90	Stomata
48	4	636.396	575.5157	708.4252	66.4547	Stomata
49.9	2.1	658.5	439	878	219.5	Stomata
50.6	0.16	600	600	[unbounded]	600	Stomata
50.6	0.16	600	600	[unbounded]	600	Stomata
50.61	0.16	600	600	[unbounded]	600	Stomata
54.233	0.1	442.877	359.2522	623.0654	131.9066	Stomata
54.29	0.1	327.362	317.6866	415.9622	49.1378	Stomata
54.29	0.1	514.951	393.3148	670.9072	138.7962	Stomata
54.7	0.1	377.715	343.1595	578.6856	117.7631	Stomata
55.6	0.1	479.408	379.8876	638.9294	129.5209	Stomata
55.9	3	666.996	474.8663	748.2942	136.714	Stomata
56.1	0.1	307	297.7558	320.992	11.6181	Stomata
56.1	0.1	307	297.7558	320.992	11.6181	Stomata
56.141	0.1	307	297.7558	320.992	11.6181	Stomata
56.143	0.1	519.887	399.6333	672.8924	136.6296	Stomata
56.163	0.1	303.667	297.4468	310.7482	6.6507	Stomata
56.4	0.1	312.553	304.2594	320.2264	7.9835	Stomata
56.464	0.1	315.515	305.148	324.9656	9.9088	Stomata
56.607	0.1	320.451	309.3931	335.2266	12.9168	Stomata
56.743	0.2	314.528	305.5435	322.8062	8.6314	Stomata
56.743	0.2	318.477	306.7282	327.9528	10.6123	Stomata
56.743	0.2	318.477	306.7282	327.9528	10.6123	Stomata
57.154	0.2	468.547	378.702	630.523	125.9105	Stomata
58.136	0.3	446.827	367.3483	623.0614	127.8566	Stomata
59.875	0.875	534.697	415.8251	680.1568	132.1659	Stomata
59.875	0.875	574.189	432.6567	703.9216	135.6325	Stomata
60	2	322.34	274.9	644.68	184.89	Stomata
61.1	3.7	317.489	310.5779	324.8336	7.1279	Stomata
63.8	2.2	366.855	337.1372	570.699	116.7809	Stomata
64.13	0.21	330.324	321.3395	401.106	39.8833	Stomata
65.375	0.625	343.159	329.3347	541.0156	105.8405	Stomata
65.375	0.625	469.53	370.011	641.916	135.9525	Stomata
65.5	0.5	418.08	363.08	836.16	236.54	Stomata
65.9	0.1	429.18	364.61	858.36	246.875	Stomata
66.5	0.5	538.646	399.7317	686.8136	143.541	Stomata
67	1	648.52	554.69	1297.04	371.175	Stomata
72.5	5.75	558.9897	496.8139	818.5306	160.8583	Stomata
73.1	5.75	568.4241	508.2621	836.4242	164.0811	Stomata
73.7	5.75	571.6977	491.3612	937.9574	223.2981	Stomata
74.7	5.75	589.1256	506.0254	1020.3514	257.163	Stomata
75.4	5.75	592.8394	520.4984	979.3049	229.4032	Stomata
75.9	5.75	695.1101	558.8475	3251.4626	1346.3075	Stomata
78.1	5.75	568.4241	475.2215	983.6081	254.1933	Stomata
79.9	5.75	581.9335	496.6369	1000.9752	252.1691	Stomata
81.5	5.75	585.4912	482.5009	1105.2192	311.3591	Stomata
84.95	1.35	660.1723	542.2539	1895.5765	676.6613	Stomata
84.95	1.35	531.2031	473.4826	732.7895	129.6535	Stomata
84.95	1.35	565.2162	512.4473	795.0782	141.3154	Stomata
93.868	3.7547	436.2	261.72	872.4	305.34	Stomata
93.936	3.7574	431.05	258.63	862.1	301.735	Stomata
93.955	3.7582	369.65	221.79	739.3	258.755	Stomata
94.012	3.7605	465.85	279.51	931.7	326.095	Stomata
94.033	3.7613	424.9	254.94	849.8	297.43	Stomata
94.046	3.7618	485.3	291.18	970.6	339.71	Stomata
94.066	3.7626	507.85	304.71	1015.7	355.495	Stomata
94.09	3.7636	446.45	267.87	892.9	312.515	Stomata
94.09	3.7636	396.25	237.75	792.5	277.375	Stomata
94.09	3.7636	448.45	269.07	896.9	313.915	Stomata
94.1	3.764	360.4	216.24	720.8	252.28	Stomata
94.14	3.7656	456.65	273.99	913.3	319.655	Stomata
94.21	3.7684	444.35	266.61	888.7	311.045	Stomata
94.28	3.7712	409.55	245.73	819.1	286.685	Stomata
94.31	3.7724	384	230.4	768	268.8	Stomata
94.37	3.7748	380.9	228.54	761.8	266.63	Stomata
94.52	3.7808	365.55	219.33	731.1	255.885	Stomata
97.2	3.3	1027.5	685	1370	342.5	Stomata
101.75	1.25	973.5	649	1298	324.5	Stomata
101.75	1.25	851.775	567.85	1135.7	283.925	Stomata
101.75	1.25	917.325	611.55	1223.1	305.775	Stomata
101.75	1.25	954	636	1272	318	Stomata
104.125	3.625	710	580	1420	420	Stomata
106.75	6.25	828	651.0114	1070.419	209.7038	Stomata
106.75	6.25	662	523.402	860.8642	168.7311	Stomata
106.75	6.25	734	579.6961	948.0829	184.1934	Stomata
110.375	2.625	710	603	1400	398.5	Stomata
112.6	2.6	856.4167	570.8333	1142	285.5833	Stomata
112.6	2.6	846.0833	564.1667	1128	281.9167	Stomata
116.5	3.5	700	597	1340	371.5	Stomata
117	6	795.5	531	1060	264.5	Stomata
118	5	892.623	595.082	1190.1639	297.541	Stomata
120.95	4.15	823.5833	549.1667	1098	274.4167	Stomata
120.95	4.15	839.0833	559.1667	1119	279.9167	Stomata
121	2	867.3	578.2	1156.4	289.1	Stomata
121	2	836.85	557.9	1115.8	278.95	Stomata
121	2	784.125	522.75	1045.5	261.375	Stomata
121	2	572.85	381.9	763.8	190.95	Stomata
121	2	1059.975	706.65	1413.3	353.325	Stomata
121	2	1059.975	706.65	1413.3	353.325	Stomata
121	2	867.3	578.2	1156.4	289.1	Stomata
121	2	592.875	395.25	790.5	197.625	Stomata
121	2	907.875	605.25	1210.5	302.625	Stomata
121	2	781.95	521.3	1042.6	260.65	Stomata
121	2	733.875	489.25	978.5	244.625	Stomata
121	2	769.35	512.9	1025.8	256.45	Stomata
123	2	695	590	1380	395	Stomata
124.65	1.65	630	530	1220	345	Stomata
124.65	1.65	1008.3333	672.2222	1344.4444	336.1111	Stomata
127.9	1.6	630	530	1250	360	Stomata
127.9	1.6	591.8478	394.5652	789.1304	197.2826	Stomata
130.15	0.65	550	450	1130	340	Stomata
131.4	0.6	620	590	1270	340	Stomata
131.6	2.3	513	369.9128	736.2145	183.1509	Stomata
132.95	0.95	650	500	1300	400	Stomata
135.1	4.3	1448.1618	965.4412	1930.8824	482.7206	Stomata
139.45	5.55	1442.0118	961.3412	1922.6824	480.6706	Stomata
139.45	5.55	1228.1404	818.7603	1637.5205	409.3801	Stomata
139.45	5.55	1150.5736	767.0491	1534.0982	383.5245	Stomata
142	1	812.6866	541.791	1083.5821	270.8955	Stomata
142	1	735.8108	490.5405	981.0811	245.2703	Stomata
143.5	1.5	972.3214	648.2143	1296.4286	324.1071	Stomata
148	1	735.8108	490.5405	981.0811	245.2703	Stomata
153.4	1.3	938.7931	625.8621	1251.7241	312.931	Stomata
168	0.3	1031.1745	687.4497	1374.8993	343.7248	Stomata
168	0.3	926.3093	617.5395	1235.0791	308.7698	Stomata
168.4	7.2	815.826	543.884	1087.768	271.942	Stomata
168.8	5.3	879.2411	586.1607	1172.3214	293.0804	Stomata
168.8	5.3	639	426	852	213	Stomata
168.8	5.3	1422	948	1896	474	Stomata
168.8	5.3	1372.5	915	1830	457.5	Stomata
168.8	5.3	1296	864	1728	432	Stomata
168.8	5.3	1188	792	1584	396	Stomata
168.8	5.3	1134	756	1512	378	Stomata
171.2	2.9	990	660	1320	330	Stomata
171.2	2.9	954	636	1272	318	Stomata
172.2	1.9	1893.75	1262.5	2525	631.25	Stomata
172.2	1.9	895.9385	597.2923	1194.5847	298.6462	Stomata
182.5	7.3	1050	800	1300	250	Stomata
182.6	7.304	1550	1200	1900	350	Stomata
182.7	7.308	550	400	700	150	Stomata
182.8	7.312	950	700	1200	250	Stomata
182.9	7.316	950	700	1200	250	Stomata
183	7.32	600	500	700	100	Stomata
186.75	4.05	942.2801	628.1868	1256.3735	314.0934	Stomata
186.75	4.05	809.4	539.6	1079.2	269.8	Stomata
187.7	13.6	734.8881	489.9254	979.8507	244.9627	Stomata
200.3	1	863.8158	575.8772	1151.7544	287.9386	Stomata
200.65	0.65	715.5	477	954	238.5	Stomata
201.05	0.25	1320	880	1760	440	Stomata
201.05	0.25	1140	760	1520	380	Stomata
201.05	0.25	2791.5	1861	3722	930.5	Stomata
201.05	0.25	1468.5	979	1958	489.5	Stomata
201.3	0.5	1534.5	1023	2046	511.5	Stomata
201.3	0.5	2151.75	1434.5	2869	717.25	Stomata
201.3	0.5	1603.875	1069.25	2138.5	534.625	Stomata
201.55	0.25	702	468	936	234	Stomata
201.55	0.25	1445.25	963.5	1927	481.75	Stomata
201.55	0.25	1092	728	1456	364	Stomata
201.55	0.25	1194.75	796.5	1593	398.25	Stomata
201.55	0.25	1236	824	1648	412	Stomata
201.55	0.25	1113	742	1484	371	Stomata
201.55	0.25	1761	1174	2348	587	Stomata
201.55	0.25	1599.75	1066.5	2133	533.25	Stomata
201.55	0.25	1459.125	972.75	1945.5	486.375	Stomata
201.55	0.25	880.5	587	1174	293.5	Stomata
201.55	0.25	1206	804	1608	402	Stomata
201.55	0.25	1122.3923	748.2615	1496.523	374.1308	Stomata
203.15	1.85	907.5	605	1210	302.5	Stomata
203.65	2.35	2200	1650	2750	550	Stomata
204.9	3.6	1471.5	981	1962	490.5	Stomata
205.4	4.1	757.5	505	1010	252.5	Stomata
205.4	4.1	834.5339	556.3559	1112.7119	278.178	Stomata
219.15	17.85	889	685.2487	1202.6219	258.6866	Stomata
226.5	10.5	615	441.3657	877.3834	218.0089	Stomata
230.5	2.5	812.6866	541.791	1083.5821	270.8955	Stomata
233.75	3.25	789.1304	526.087	1052.1739	263.0435	Stomata
233.75	3.25	825	550	1100	275	Stomata
270.55	1.75	343	205.8	686	240.1	Stomata
270.55	1.75	266	159.6	532	186.2	Stomata
270.55	1.75	290	174	580	203	Stomata
270.55	1.75	326	195.6	652	228.2	Stomata
270.55	1.75	342	205.2	684	239.4	Stomata
277.15	4.85	498	363.5124	706.7246	171.6061	Stomata
285.6	13.3	354	236	472	118	Stomata
311.05	12.15	340	236.8103	488.0182	125.6039	Stomata
313.5	5.5	348	208.8	696	243.6	Stomata
313.5	5.5	351	210.6	702	245.7	Stomata
313.5	5.5	336	201.6	672	235.2	Stomata
313.5	5.5	308	184.8	616	215.6	Stomata
313.5	5.5	350	210	700	245	Stomata
313.5	5.5	366	219.6	732	256.2	Stomata
313.5	5.5	368	220.8	736	257.6	Stomata
313.5	5.5	358	214.8	716	250.6	Stomata
313.5	5.5	303	181.8	606	212.1	Stomata
313.5	5.5	367	220.2	734	256.9	Stomata
313.5	5.5	350	210	700	245	Stomata
313.5	5.5	401	240.6	802	280.7	Stomata
313.5	5.5	287	172.2	574	200.9	Stomata
313.5	5.5	311	186.6	622	217.7	Stomata
313.5	5.5	284	170.4	568	198.8	Stomata
313.5	5.5	325	195	650	227.5	Stomata
316.5	1.5	388	272.1263	566.5355	147.2046	Stomata
316.6	1.4	261	174	348	87	Stomata
317.5	0.5	332	239.3052	470.5403	115.6176	Stomata
324	5	385	231	770	269.5	Stomata
324	5	392	235.2	784	274.4	Stomata
324	5	359	215.4	718	251.3	Stomata
400.45	7.15	2281.5	1521	3042	760.5	Stomata
409.2	1.6	2836	2505	4561	1028	Stomata
409.2	1.6	1548	1091.6308	2540.3292	724.3492	Stomata
