age	CO2 	CO2.1sig
12.232921	249.23	1.60
12.256477	248.95	1.48
12.280774	249.38	1.33
12.301036	248.92	0.29
12.321276	250.73	1.37
12.343121	246.97	0.76
12.365281	244.31	1.16
12.388308	243.00	1.21
12.409378	246.40	1.45
12.431925	247.67	0.82
12.454817	245.83	0.56
12.47539	246.18	0.79
12.495838	244.42	1.18
12.52135	246.74	1.29
12.543717	249.92	1.72
12.564615	244.27	1.21
12.586604	247.02	0.27
12.607644	248.09	1.18
12.629853	246.94	0.45
12.653637	243.95	1.68
12.673897	242.53	0.96
12.697141	244.24	0.96
12.7198	241.59	1.07
12.739914	247.30	0.41
12.762577	240.02	1.12
12.785627	241.50	2.09
12.80927	242.23	1.95
12.830152	242.15	1.34
12.852706	239.35	1.29
12.873977	241.24	1.30
12.893384	239.44	0.79
12.917105	238.79	1.12
12.939228	238.18	2.82
12.959751	240.71	0.95
12.980883	237.15	0.81
13.001057	239.42	2.09
13.021916	234.68	0.19
13.043693	238.86	1.94
13.066591	237.91	2.24
13.088223	241.56	1.16
13.128448	234.82	0.11
13.17267	236.91	0.96
13.216195	239.41	0.69
13.266965	240.42	0.15
13.304149	236.86	0.34
13.418103	237.83	1.87
13.486737	240.25	1.41
13.531749	235.83	0.40
13.600809	243.86	0.12
13.645346	238.55	0.46
13.712826	241.59	1.23
13.75873	241.11	2.22
13.827204	239.08	0.10
13.871566	237.95	0.85
13.940228	240.57	0.57
14.001788	235.92	1.04
14.022859	237.87	1.09
14.060093	241.27	1.17
14.084472	232.88	1.52
14.120057	236.40	0.13
14.156604	239.24	0.42
14.179551	239.36	0.81
14.205559	238.36	1.89
14.237445	236.60	1.19
14.273024	240.21	1.33
14.298717	239.04	0.22
14.308608	235.80	1.10
14.343156	242.08	1.09
14.354483	238.39	0.49
14.374989	240.33	1.05
14.410597	242.55	1.42
14.422234	242.60	1.76
14.443283	240.95	0.35
14.463583	238.61	0.77
14.497209	242.06	2.25
14.520852	241.14	1.27
14.531297	243.17	0.81
14.541662	235.83	0.56
14.552933	241.73	0.42
14.563518	239.86	1.46
14.575933	239.77	1.74
14.586185	237.97	1.14
14.595468	235.31	0.61
14.606209	237.59	0.85
14.619389	237.97	0.76
14.629987	240.10	1.12
14.645202	238.12	0.60
14.652256	234.62	0.39
14.664087	233.42	0.29
14.675119	234.34	1.04
14.686374	237.49	0.29
